timestamp;executed
1;400.0
258;1680.0
516;1680.0
134;1820.0
392;1260.0
11;1660.0
268;1240.0
145;1360.0
402;1720.0
21;1160.0
278;1680.0
155;1800.0
412;1360.0
32;1660.0
289;1260.0
165;1340.0
423;1800.0
42;1360.0
299;1820.0
176;1360.0
433;1360.0
52;1280.0
309;1300.0
186;1720.0
443;1640.0
62;1600.0
320;1300.0
196;1400.0
454;1240.0
73;1320.0
330;1700.0
206;1640.0
464;1220.0
83;1740.0
340;1380.0
217;1240.0
474;1680.0
93;1340.0
351;1760.0
227;1760.0
485;1300.0
103;1200.0
361;1240.0
237;1300.0
495;1700.0
114;1700.0
371;1820.0
248;1380.0
505;1220.0
124;1320.0
381;1320.0
