timestamp;input
1;380.0
515;980.0
389;1480.0
263;2180.0
138;1340.0
12;1380.0
525;1660.0
399;1240.0
273;1500.0
148;2060.0
22;1860.0
410;1760.0
284;2040.0
159;1080.0
33;1340.0
420;1360.0
294;1480.0
169;1400.0
43;1660.0
431;1240.0
305;1360.0
180;1200.0
54;1360.0
441;900.0
315;1000.0
190;1040.0
64;1540.0
452;1060.0
326;1320.0
200;1600.0
75;1440.0
462;1100.0
336;880.0
211;1260.0
85;1640.0
473;840.0
347;1600.0
221;1600.0
96;1100.0
483;1440.0
357;1200.0
232;1300.0
106;1340.0
494;1080.0
368;1620.0
242;1800.0
117;1180.0
504;1540.0
378;1080.0
252;1720.0
127;1560.0
timestamp;input
1;520.0
321;2860.0
259;1940.0
197;2800.0
135;2000.0
73;2240.0
393;2820.0
11;3260.0
331;2120.0
269;2940.0
207;2320.0
145;1940.0
83;2780.0
403;2080.0
21;2180.0
341;3120.0
279;2220.0
217;2320.0
156;2900.0
413;3060.0
94;2160.0
351;1960.0
32;2200.0
290;2060.0
228;2740.0
166;1920.0
104;2740.0
424;2160.0
42;3120.0
362;2960.0
300;3040.0
238;2220.0
176;2860.0
114;2160.0
434;2800.0
52;440.0
372;2080.0
310;2240.0
248;2840.0
187;2220.0
444;1860.0
125;3240.0
382;2320.0
63;2000.0
timestamp;input
64;1200.0
1;0.0
451;1480.0
388;1180.0
326;1240.0
263;1420.0
201;1380.0
138;1580.0
75;1540.0
12;0.0
399;1420.0
336;1800.0
274;1180.0
211;1220.0
148;1200.0
85;920.0
22;1220.0
409;1140.0
346;1060.0
284;2120.0
221;1600.0
159;1480.0
96;1600.0
33;1400.0
420;1620.0
357;1560.0
294;1120.0
232;1120.0
169;1120.0
106;1140.0
43;1200.0
430;1240.0
367;1180.0
305;1600.0
242;1560.0
180;1440.0
117;2040.0
54;1840.0
441;1780.0
378;1660.0
315;2000.0
253;1020.0
190;1020.0
127;1140.0
