timestamp;outputs
1;0.0
515;0.0
389;0.0
263;0.0
138;0.0
12;0.0
525;0.0
399;0.0
273;0.0
148;0.0
22;0.0
410;0.0
284;0.0
159;0.0
33;0.0
420;0.0
294;0.0
169;0.0
43;0.0
431;0.0
305;0.0
180;20.0
54;0.0
441;0.0
315;0.0
190;0.0
64;0.0
452;0.0
326;0.0
200;0.0
75;0.0
462;0.0
336;0.0
211;0.0
85;0.0
473;0.0
347;0.0
221;0.0
96;0.0
483;0.0
357;0.0
232;0.0
106;0.0
494;0.0
368;0.0
242;40.0
117;0.0
504;0.0
378;0.0
252;0.0
127;0.0
timestamp;outputs
1;20.0
321;0.0
259;0.0
197;0.0
135;0.0
73;0.0
393;0.0
11;0.0
331;0.0
269;0.0
207;0.0
145;0.0
83;0.0
403;0.0
21;0.0
341;0.0
279;0.0
217;0.0
156;0.0
413;0.0
94;0.0
351;0.0
32;0.0
290;0.0
228;0.0
166;0.0
104;0.0
424;20.0
42;0.0
362;40.0
300;20.0
238;0.0
176;20.0
114;0.0
434;0.0
372;0.0
310;0.0
248;0.0
187;0.0
444;0.0
125;40.0
382;0.0
63;20.0
timestamp;outputs
64;0.0
1;0.0
451;0.0
388;0.0
326;0.0
263;0.0
201;20.0
138;40.0
75;0.0
12;0.0
399;0.0
336;0.0
274;0.0
211;0.0
148;0.0
85;40.0
22;0.0
409;0.0
346;0.0
284;0.0
221;0.0
159;0.0
96;0.0
33;0.0
420;0.0
357;0.0
294;0.0
232;0.0
169;0.0
106;0.0
43;0.0
430;0.0
367;0.0
305;0.0
242;0.0
180;0.0
117;0.0
54;0.0
441;0.0
378;0.0
315;20.0
253;0.0
190;0.0
127;0.0
