timestamp;out of time
320;0.0
1;0.0
258;0.0
196;0.0
134;0.0
392;7000.0
73;0.0
330;6920.0
11;0.0
268;6960.0
206;7180.0
145;0.0
402;0.0
83;0.0
340;0.0
21;0.0
278;0.0
217;0.0
155;7020.0
412;0.0
93;1700.0
351;0.0
32;0.0
289;0.0
227;0.0
165;0.0
103;0.0
423;7000.0
361;6780.0
42;0.0
299;6740.0
237;6940.0
176;0.0
114;0.0
371;0.0
52;0.0
309;0.0
248;0.0
186;7160.0
124;4600.0
381;0.0
62;0.0
