timestamp;executed
1;440.0
515;1020.0
389;1720.0
263;2120.0
138;1320.0
12;1300.0
525;1460.0
399;1220.0
273;1640.0
148;1800.0
22;1940.0
410;1720.0
284;1980.0
159;1140.0
33;1260.0
420;1260.0
294;1180.0
169;1700.0
43;1520.0
431;1340.0
305;1180.0
180;1220.0
54;1300.0
441;920.0
315;920.0
190;1200.0
64;1640.0
452;940.0
326;1280.0
200;1640.0
75;1160.0
462;1260.0
336;980.0
211;1220.0
85;1740.0
473;940.0
347;1580.0
221;1820.0
96;1120.0
483;1540.0
357;1060.0
232;1340.0
106;1360.0
494;1040.0
368;1760.0
242;1780.0
117;1180.0
504;1460.0
378;1240.0
252;1660.0
127;1660.0
timestamp;executed
1;480.0
321;2820.0
259;2220.0
197;2900.0
135;2120.0
73;2180.0
393;2880.0
11;2640.0
331;2140.0
269;2840.0
207;2180.0
145;2120.0
83;2900.0
403;2080.0
21;1720.0
341;2840.0
279;2060.0
217;2200.0
156;3000.0
413;2920.0
94;2140.0
351;2120.0
32;1780.0
290;2140.0
228;2900.0
166;2160.0
104;2860.0
424;2200.0
42;2760.0
362;2940.0
300;2800.0
238;2220.0
176;2900.0
114;2140.0
434;2860.0
372;2160.0
310;2160.0
248;2760.0
187;2220.0
444;2120.0
125;2820.0
382;2160.0
63;1960.0
timestamp;executed
64;1380.0
1;0.0
451;1340.0
388;1200.0
326;1380.0
263;1440.0
201;1480.0
138;1520.0
75;1540.0
12;0.0
399;1560.0
336;1620.0
274;1180.0
211;1180.0
148;1080.0
85;900.0
22;1540.0
409;1120.0
346;1260.0
284;1860.0
221;1540.0
159;1560.0
96;1660.0
33;1520.0
420;1720.0
357;1620.0
294;1180.0
232;1100.0
169;1260.0
106;1200.0
43;1220.0
430;1180.0
367;1140.0
305;1500.0
242;1560.0
180;1640.0
117;1840.0
54;1780.0
441;1800.0
378;1640.0
315;1800.0
253;1060.0
190;960.0
127;1220.0
timestamp;executed
1;400.0
258;1680.0
516;1680.0
134;1820.0
392;1260.0
11;1660.0
268;1240.0
145;1360.0
402;1720.0
21;1160.0
278;1680.0
155;1800.0
412;1360.0
32;1660.0
289;1260.0
165;1340.0
423;1800.0
42;1360.0
299;1820.0
176;1360.0
433;1360.0
52;1280.0
309;1300.0
186;1720.0
443;1640.0
62;1600.0
320;1300.0
196;1400.0
454;1240.0
73;1320.0
330;1700.0
206;1640.0
464;1220.0
83;1740.0
340;1380.0
217;1240.0
474;1680.0
93;1340.0
351;1760.0
227;1760.0
485;1300.0
103;1200.0
361;1240.0
237;1300.0
495;1700.0
114;1700.0
371;1820.0
248;1380.0
505;1220.0
124;1320.0
381;1320.0
