timestamp;nbSupervisors
1;1.0
321;1.0
259;1.0
197;1.0
135;1.0
73;1.0
393;1.0
11;1.0
331;1.0
269;1.0
207;1.0
145;1.0
83;1.0
403;1.0
21;1.0
341;1.0
279;1.0
217;1.0
156;1.0
413;1.0
94;1.0
351;1.0
32;1.0
290;1.0
228;1.0
166;1.0
104;1.0
424;1.0
42;1.0
362;1.0
300;1.0
238;1.0
176;1.0
114;1.0
434;1.0
52;1.0
372;1.0
310;1.0
248;1.0
187;1.0
444;1.0
125;1.0
382;1.0
63;1.0
