timestamp;throughput
1;263.708
321;170.633
259;216.253
197;297.93
135;519.018
73;2320.952
393;138.594
11;1141.532
331;165.809
269;205.512
207;281.386
145;469.024
83;1378.573
403;135.62
21;1775.971
341;159.76
279;198.374
217;267.042
156;414.721
413;131.665
94;1058.512
351;155.544
32;2548.731
290;191.54
228;249.893
166;382.181
104;812.198
424;128.994
42;3412.795
362;150.201
300;183.324
238;238.376
176;346.349
114;693.725
434;125.568
52;3567.118
372;146.465
310;177.639
248;225.482
187;323.642
444;123.219
125;580.676
382;142.91
63;20.5
