timestamp;latency
64;2074.333
128;2074.333
192;2074.333
1;0.0
455;2074.333
392;2074.333
329;2074.333
202;2074.333
266;2074.333
75;2074.333
139;2074.333
12;5996.0
339;2074.333
403;2074.333
276;2074.333
213;2074.333
22;3111.0
86;2074.333
150;2074.333
413;2074.333
350;2074.333
223;2074.333
287;2074.333
96;2074.333
160;2074.333
33;3111.0
360;2074.333
424;2074.333
297;2074.333
234;2074.333
43;3111.0
107;2074.333
171;2074.333
434;2074.333
371;2074.333
308;2074.333
181;2074.333
245;2074.333
54;2074.333
118;2074.333
381;2074.333
445;2074.333
318;2074.333
255;2074.333
