timestamp;cr
64;7916.451326179575
128;6153.169181923439
192;5194.504886735576
1;-1.0
455;342.36093560660055
392;551.5526587222046
329;949.7306450502668
202;4000.392870872602
266;1838.0147940201862
75;5969.286346395501
139;5133.368134576984
12;-1.0
339;797.6748820698243
403;441.7325708755035
276;1099.9728385917479
213;2841.77910113713
22;-1.0
86;3939.5307345446818
150;2946.414692845125
413;278.1454075467917
350;530.1810955302607
223;2513.0636034451213
287;1055.1481277381142
96;5783.800644480128
160;2244.209587623436
33;-1.0
360;942.1749978490087
424;402.80527878846436
297;1242.0875209261237
234;1823.542549448528
43;5.509885069301949
107;3998.7646817404943
171;2093.1656020653095
434;336.58233037584756
371;708.8763407953152
308;667.5872402684518
181;1904.8782376361448
245;1321.281008981195
54;9.706553827020308
118;3368.627426748101
381;356.1459807463122
445;211.12083996167334
318;534.3114435417748
255;2223.4957896678397
