timestamp;input
64;156820.0
128;203660.0
192;134640.0
1;13400.0
455;14160.0
392;27300.0
329;33880.0
202;29180.0
266;45340.0
75;165300.0
139;55720.0
12;81260.0
339;22700.0
403;12680.0
276;18320.0
213;41200.0
22;148400.0
86;72520.0
150;31120.0
413;7860.0
350;14720.0
223;62780.0
287;23100.0
96;236160.0
160;46160.0
33;174160.0
360;36540.0
424;15200.0
297;39100.0
234;40120.0
43;114520.0
107;112840.0
171;64820.0
434;9500.0
371;14840.0
308;19280.0
181;59180.0
245;12180.0
54;282940.0
118;44660.0
381;5620.0
445;7680.0
318;15160.0
255;60140.0
