timestamp;throughput
64;12551.889
128;12551.889
192;12551.889
1;2836.6
455;18812.125
392;18812.125
329;18812.125
202;12551.889
266;12551.889
75;12551.889
139;12551.889
12;5895.286
339;18812.125
403;18812.125
276;12101.0
213;12551.889
22;7620.125
86;12551.889
150;12551.889
413;18812.125
350;18812.125
223;12551.889
287;12101.0
96;12551.889
160;12551.889
33;7620.125
360;18812.125
424;18812.125
297;15315.692
234;12551.889
43;7620.125
107;12551.889
171;12551.889
434;18812.125
371;18812.125
308;17497.933
181;12551.889
245;12551.889
54;12551.889
118;12551.889
381;18812.125
445;18812.125
318;18812.125
255;12551.889
